bookId,title,series,author,rating,description,language,isbn,genres,characters,bookFormat,pages,publisher,publishDate,firstPublishDate,awards,numRatings,likedPercent,setting,coverImg
10723236-start-something-that-matters,Start Something That Matters,,Blake Mycoskie,4.02,"Love your work, work for what you love, and change the world—all at the same time. What matters most to you? Should you focus on earning a living, pursuing your passions, or devoting yourself to the causes that inspire you? The surprising truth is that you don’t have to choose—and that you’ll find more success if you don’t. That’s the breakthrough message of TOMS’ One for One movement. You don’t have to be rich to give back and you don’t have to retire to spend every day doing what you love. You can find profit, passion, and meaning all at once—right now.    In Start Something That Matters, Blake Mycoskie tells the story of TOMS, one of the fastest-growing shoe companies in the world, and combines it with lessons learned from such other innovative organizations such as Method Products, charity: water, FEED Projects, and TerraCycle. Blake presents the six simple keys for creating or transforming your own life and business, from discovering your core story to being resourceful without resources; from overcoming fear and doubt to incorporating giving into every aspect of your life. No matter what kind of change you’re considering, Start Something That Matters gives you the stories, ideas, and practical tips that can help you get started.   Why this book is for you:  • You’re ready to make a difference in the world—through your own start-up business, a nonprofit organization, or a new project that you create within your current job.• You want to love your work, work for what you love, and have a positive impact on the world—all at the same time.• You’re inspired by charity: water, method, and FEED Projects and want to learn how these organizations got their start. • You’re curious about how someone who never made a pair of shoes, attended fashion school, or worked in retail created one of the fastest-growing footwear companies in the world by giving shoes away.• You’re looking for a new model of success to share with your children, students, co-workers, and members of your community. You’re ready to start something that matters.",English,9781400069187,"['Nonfiction', 'Business', 'Entrepreneurship', 'Biography', 'Self Help', 'Memoir', 'Inspirational', 'Leadership', 'Buisness', 'Autobiography'] - nan",[],Hardcover,189,Spiegel & Grau,September 6th 2011,01/01/11,[],10060.0,92.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320563711l/10723236.jpg
26863057-age-of-myth,Age of Myth,The Legends of the First Empire #1,Michael J. Sullivan (Goodreads Author),4.24,"Age of Myth inaugurates another six-book series set in Elan.Since time immemorial, humans have worshipped the gods they call Fhrey, truly a race apart: invincible in battle, masters of magic, and seemingly immortal. But when a god falls to a human blade, the balance of power between humans and those they thought were gods changes forever.Now only a few stand between humankind and annihilation: Raithe, reluctant to embrace his destiny as the God Killer; Suri, a young seer burdened by signs of impending doom; and Persephone, who must overcome personal tragedy to lead her people. The Age of Myth is over. The time of rebellion has begun.",English,9781101965337,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Magic', 'Adventure', 'Adult', 'Science Fiction Fantasy', 'Epic'] - nan",[],Hardcover,432,Del Rey,June 28th 2016,,['Goodreads Choice Award Nominee for Fantasy (2016)'],25804.0,97.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507307691l/26863057.jpg
31131467-the-gender-game,The Gender Game,The Gender Game #1,Bella Forrest (Goodreads Author),3.82,"For fans of The Hunger Games and Divergent comes a story like no other... A toxic river divides nineteen-year-old Violet Bates's world by gender. Women rule the East. Men rule the West. Welcome to the lands of Matrus and Patrus. Ever since the disappearance of her beloved younger brother, Violet's life has been consumed by an anger she struggles to control. Already a prisoner to her own nation, now she has been sentenced to death for her crimes. But one decision could save her life. To enter the kingdom of Patrus, where men rule and women submit. Everything about the patriarchy is dangerous for a rebellious girl like Violet. She cannot break the rules if she wishes to stay alive. But abiding by rules has never been Violet's strong suit.When she's thrust into more danger than she could have ever predicted, Violet is forced to sacrifice many things in the forbidden kingdom ... including forbidden love. In a world divided by gender, only the strongest survive...",English,9781541294592,"['Dystopia', 'Young Adult', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Audiobook', 'New Adult', 'Post Apocalyptic', 'Young Adult Fantasy'] - nan",[],Kindle Edition,418,Createspace Independent Publishing Platform,September 24th 2016,,[],41449.0,88.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469731405l/31131467._SY475_.jpg
101914.Red_is_for_Remembrance,Red is for Remembrance,Blue is for Nightmares #4,Laurie Faria Stolarz (Goodreads Author),4.07,"I know you're alone...Shattered by her boyfriend's tragic death, Stacey is struggling in her first year of college, hoping that somehow, somewhere, Jacob is still alive. Now her nightmares are back, haunted by ghosts and misery. Casting healing spells brings Stacey closer to Porsha—a troubled girl who's also dreaming of death—and to a strange boy whose life is in danger. To save him, it'll take all the strength and magic they've got. And maybe even cost them their lives...",English,9780738707600,"['Young Adult', 'Fantasy', 'Paranormal', 'Magic', 'Witches', 'Mystery', 'Romance', 'Fiction', 'Teen', 'Supernatural'] - nan",['Stacey Ann Brown'],Paperback,320,Llewellyn Publications,August 8th 2005,,[],9161.0,94.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578433819l/101914._SY475_.jpg
170192.Of_Mice_and_Men_Cannery_Row,Of Mice and Men/Cannery Row,,John Steinbeck,4.16,,English,9780140048919,"['Fiction', 'Classics', 'Classic Literature', 'American', 'Literature', 'Animals', 'Adventure', 'Roman', 'Short Stories', 'Novels'] - nan",[],Paperback,250,Penguin Group,June 29th 1978,01/01/47,[],2840.0,95.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325215218l/170192.jpg
153540.The_Little_House,The Little House,,Virginia Lee Burton,4.29,"Virginia Lee Burton won the Caldecott Medal in 1943 for her memorable picture book The Little House, a poignant story of a cute country cottage that becomes engulfed by the city that grows up around it. The house has an expressive face of windows and doors, and even the feelings of a person, so she’s sad when she’s surrounded by the dirty, noisy city’s hustle and bustle: “She missed the field of daisies / and the apple trees dancing in the moonlight.” Fortunately, there’s a happy ending, as the house is taken back to the country where she belongs.",English,9780395181560,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Juvenile', 'Fantasy', 'Kids', 'Family', 'Historical Fiction', 'Realistic Fiction'] - nan",[],Hardcover,40,Houghton Mifflin Company,April 26th 1942,10/29/42,['Caldecott Medal (1943)'],38990.0,95.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363184334l/153540.jpg
439363.Love_Com_Vol_1,"Love★Com, Vol. 1",Lovely★Complex #1,"Aya Nakahara, Pookie Rolf (Translator)",4.22,"Risa Koizumi is the tallest girl in class, and the last thing she wants is the humiliation of standing next to Atsushi Otoni, the shortest guy. Fate and the whole school have other ideas, and the two find themselves cast as the unwilling stars of a bizarre romantic comedy duo. Rather than bow to the inevitable, Risa and Atsushi join forces to pursue their true objects of affection. But in the quest for love, will their budding friendship become something more complex?",English,9781421513430,"['Manga', 'Romance', 'Graphic Novels', 'Comics', 'Shojo', 'Young Adult', 'Humor', 'Comics Manga', 'Fiction', 'Comedy'] - nan","['Risa Koizumi', 'Atsushi Otani']",Paperback,180,VIZ Media LLC,July 3rd 2007,10/29/01,[],15546.0,93.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347987937l/439363.jpg
420737.Son_of_the_Morning,Son of the Morning,,Linda Howard,3.96,"All of Linda Howard's novels are wonderful but this exceptional time-travel is her first foray into paranormal romance--and it's not to be missed.Grace St. John, a scholar, unwittingly discovers the Knights of Templar's secret treasure. Suddenly, her life is upturned when she spies her boss murdering her husband and brother. With no reason to live, except to extract vengeance, Grace becomes a fugitive of the law as she attempts to find an explanation for this horrible act.Grace simultaneously translates 14th century medieval documents written by Black Niall. This embittered knight reaches into Grace's subconscious and the two begin to share dreams 700 years apart. A scholar specializing in ancient manuscripts, Grace St. John never imagined that a cache of fragile, old documents she discovered was the missing link to a lost Celtic treasure. But as soon as she deciphers the intriguing legend of the Knights of the Templar -- long fabled to hold the key to unlimited power -- Grace becomes the target of a ruthless killer bent on abusing the coveted force.Determined to stop him, Grace needs the help of a celebrated warrior bound by duty to uphold the Templar's secret for all eternity. But to find him -- and to save herself -- she must go back in time.Summoning the magic of an arcane ritual, Grace steps back to the barren hills of 14th-century Scotland, enduring the perils of an untamed land to confront Black Niall, a fierce man of dark fury and raw, unbridled desire. Driven by a mix of fear and passion, Grace enlists this brazen knight to join her in a modern-day search for a killer.In their quest to protect a timeless secret, they uncover a love for all time -- and a deadly duel of honor that risks everything they have.",English,9780671799380,"['Romance', 'Time Travel', 'Historical Romance', 'Romantic Suspense', 'Paranormal', 'Historical', 'Contemporary', 'Paranormal Romance', 'Contemporary Romance', 'Suspense'] - nan","['Grace St. John', 'Niall MacRobert', 'Parrish Sawyer', 'Conrad']",Mass Market Paperback,374,Pocket Books,March 1st 1997,10/29/97,['All About Romance (AAR) Annual Reader Poll for Favorite Romantic Suspense (1998)'],7174.0,92.0,"['Minneapolis, Minnesota (United States)', 'Chicago, Illinois (United States)', 'Minneapolis, Minnesota (United States)', 'Creag Dhu, Scotland (United Kingdom)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352197405l/420737.jpg
2872.Falling_Angels,Falling Angels,,Tracy Chevalier (Goodreads Author),3.58,"In her New York Times bestselling follow-up, Tracy Chevalier once again paints a distant age with a rich and provocative palette of characters. Told through a variety of shifting perspectives- wives and husbands, friends and lovers, masters and their servants, and a gravedigger's son-Falling Angels follows the fortunes of two families in the emerging years of the twentieth century.",English,9780452283206,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Adult Fiction', 'Audiobook', 'Adult', 'Novels', 'Drama', 'Victorian'] - nan","['Maude Coleman', 'Kitty Coleman', 'Richard Coleman', 'Lavinia Waterhouse', 'Gertrude Waterhouse', 'Albert Waterhouse', 'Simon Field']",Paperback,336,Penguin Books,September 24th 2002,10/29/01,[],23102.0,89.0,"['London, England']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327995250l/2872.jpg
28212.And_the_Band_Played_On,"And the Band Played On: Politics, People, and the AIDS Epidemic",,"Randy Shilts, William Greider (Introduction)",4.36,"By the time Rock Hudson's death in 1985 alerted all America to the danger of the AIDS epidemic, the disease had spread across the nation, killing thousands of people and emerging as the greatest health crisis of the 20th century. America faced a troubling question: What happened? How was this epidemic allowed to spread so far before it was taken seriously? In answering these questions, Shilts weaves the disparate threads into a coherent story, pinning down every evasion and contradiction at the highest levels of the medical, political, and media establishments. Shilts shows that the epidemic spread wildly because the federal government put budget ahead of the nation's welfare; health authorities placed political expediency before the public health; and scientists were often more concerned with international prestige than saving lives. Against this backdrop, Shilts tells the heroic stories of individuals in science and politics, public health and the gay community, who struggled to alert the nation to the enormity of the danger it faced. And the Band Played On is both a tribute to these heroic people and a stinging indictment of the institutions that failed the nation so badly.",English,9780312241353,"['Nonfiction', 'History', 'Science', 'Politics', 'LGBT', 'Medicine', 'Queer', 'Health', 'Medical', 'Sociology'] - nan",[],Paperback,656,Stonewall Inn Editions,April 9th 2000,11/01/87,"['Stonewall Book Award (1988)', 'ASJA Outstanding Book Award (1988)', 'California Book Award for Nonfiction (Silver) (1987)', 'National Book Critics Circle Award Nominee for General Nonfiction (1987)']",23504.0,96.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924077l/28212.jpg
